close,high,low,open,time,volumefrom,volumeto,timestamp
381.96,384.48,376.02,383.9,1506610800,174.53,66255.02,2017-09-28 08:00:00
381.0,381.99,376.01,381.96,1506614400,33.53,12726.06,2017-09-28 09:00:00
376.8,383.87,376.71,381.0,1506618000,62.12,23732.12,2017-09-28 10:00:00
376.41,381.8,376.41,376.8,1506621600,70.08,26408.03,2017-09-28 11:00:00
377.02,381.35,376.41,376.41,1506625200,18.65,7075.45,2017-09-28 12:00:00
380.45,381.32,376.5,377.02,1506628800,27.7,10483.62,2017-09-28 13:00:00
380.46,380.48,376.5,380.45,1506632400,52.73,19935.61,2017-09-28 14:00:00
383.09,383.09,377.06,380.46,1506636000,105.92,40305.31,2017-09-28 15:00:00
381.0,383.69,380.01,383.09,1506639600,24.97,9556.49,2017-09-28 16:00:00
380.5,383.58,380.0,381.0,1506643200,11.57,4422.28,2017-09-28 17:00:00
382.99,382.99,378.0,380.5,1506646800,57.38,21892.53,2017-09-28 18:00:00
364.14,382.99,363.18,382.99,1506650400,928.77,346483.73,2017-09-28 19:00:00
361.12,373.87,360.54,364.14,1506654000,655.87,238405.67,2017-09-28 20:00:00
360.5,371.95,360.22,361.12,1506657600,216.85,78853.19,2017-09-28 21:00:00
364.0,365.0,360.0,360.5,1506661200,187.88,67861.69,2017-09-28 22:00:00
363.0,365.0,363.0,364.0,1506664800,147.57,53781.71,2017-09-28 23:00:00
369.45,369.45,362.0,363.0,1506668400,22.74,8301.14,2017-09-29 00:00:00
369.0,369.45,369.0,369.45,1506672000,1.13,415.7,2017-09-29 01:00:00
367.44,369.0,362.01,369.0,1506675600,6.83,2480.94,2017-09-29 02:00:00
375.8,375.8,363.0,367.44,1506679200,38.73,14454.0,2017-09-29 03:00:00
365.05,376.99,364.01,375.8,1506682800,699.32,256059.44,2017-09-29 04:00:00
375.0,375.0,365.05,365.05,1506686400,431.28,157584.72,2017-09-29 05:00:00
369.1,375.0,363.0,375.0,1506690000,350.36,127350.15,2017-09-29 06:00:00
364.05,373.89,364.01,369.1,1506693600,53.23,19537.16,2017-09-29 07:00:00
372.49,372.98,364.05,364.05,1506697200,146.11,54127.84,2017-09-29 08:00:00
375.0,375.0,366.0,372.49,1506700800,139.62,51888.17,2017-09-29 09:00:00
370.99,375.0,365.14,375.0,1506704400,102.45,37822.71,2017-09-29 10:00:00
365.18,371.0,365.13,370.99,1506708000,69.81,25568.22,2017-09-29 11:00:00
371.88,372.99,365.18,365.18,1506711600,83.75,30970.82,2017-09-29 12:00:00
371.94,371.99,366.02,371.88,1506715200,65.29,24104.45,2017-09-29 13:00:00
370.0,371.95,367.0,371.94,1506718800,50.54,18717.94,2017-09-29 14:00:00
368.0,372.99,366.92,370.0,1506722400,72.6,26890.01,2017-09-29 15:00:00
363.79,372.48,363.76,368.0,1506726000,99.47,36414.16,2017-09-29 16:00:00
369.87,370.0,363.79,363.79,1506729600,11.49,4208.75,2017-09-29 17:00:00
373.42,373.42,365.5,369.87,1506733200,112.19,41598.34,2017-09-29 18:00:00
371.01,375.0,370.01,373.42,1506736800,12.88,4809.49,2017-09-29 19:00:00
376.79,377.49,371.0,371.01,1506740400,46.73,17555.42,2017-09-29 20:00:00
374.0,376.79,370.01,376.79,1506744000,84.92,31643.27,2017-09-29 21:00:00
375.95,376.31,373.99,374.0,1506747600,78.29,29424.62,2017-09-29 22:00:00
378.55,378.55,375.95,375.95,1506751200,48.02,18096.21,2017-09-29 23:00:00
378.52,378.55,375.0,378.55,1506754800,25.86,9769.29,2017-09-30 00:00:00
374.0,378.52,373.0,378.52,1506758400,12.49,4668.21,2017-09-30 01:00:00
375.0,378.55,374.0,374.0,1506762000,7.71,2898.46,2017-09-30 02:00:00
374.0,378.55,374.0,375.0,1506765600,9.24,3491.68,2017-09-30 03:00:00
375.02,378.87,374.0,374.0,1506769200,8.98,3400.36,2017-09-30 04:00:00
375.01,379.98,375.01,375.02,1506772800,11.52,4371.22,2017-09-30 05:00:00
376.0,378.89,375.01,375.01,1506776400,18.85,7134.69,2017-09-30 06:00:00
378.79,378.79,376.0,376.0,1506780000,15.22,5758.34,2017-09-30 07:00:00
381.64,381.99,377.1,378.79,1506783600,99.33,37720.22,2017-09-30 08:00:00
384.59,384.59,378.0,381.64,1506787200,94.76,36180.3,2017-09-30 09:00:00
382.0,384.59,380.0,384.59,1506790800,43.41,16591.92,2017-09-30 10:00:00
380.0,385.0,380.0,382.0,1506794400,95.41,36568.89,2017-09-30 11:00:00
382.48,382.49,378.0,380.0,1506798000,173.08,66005.54,2017-09-30 12:00:00
378.03,382.49,378.0,382.48,1506801600,403.5,154212.91,2017-09-30 13:00:00
380.0,383.0,378.03,378.03,1506805200,52.75,20118.11,2017-09-30 14:00:00
382.96,382.99,375.5,380.0,1506808800,162.41,61458.46,2017-09-30 15:00:00
382.0,382.96,378.05,382.96,1506812400,38.32,14589.1,2017-09-30 16:00:00
377.5,382.0,377.5,382.0,1506816000,67.71,25735.98,2017-09-30 17:00:00
377.2,382.0,377.04,377.5,1506819600,6.29,2377.83,2017-09-30 18:00:00
378.0,381.97,374.48,377.2,1506823200,38.0,14310.78,2017-09-30 19:00:00
373.61,379.78,372.2,378.0,1506826800,132.51,49603.95,2017-09-30 20:00:00
379.0,381.56,373.51,373.61,1506830400,88.3,33468.5,2017-09-30 21:00:00
379.99,380.0,378.0,379.0,1506834000,9.9,3759.06,2017-09-30 22:00:00
378.91,379.99,378.91,379.99,1506837600,3.63,1375.02,2017-09-30 23:00:00
382.83,382.83,378.91,378.91,1506841200,162.73,61903.6,2017-10-01 00:00:00
382.78,382.83,375.01,382.83,1506844800,3.52,1327.5,2017-10-01 01:00:00
377.0,382.78,375.04,382.78,1506848400,30.59,11552.49,2017-10-01 02:00:00
382.0,382.83,377.0,377.0,1506852000,15.6,5930.36,2017-10-01 03:00:00
382.8,382.8,381.89,382.0,1506855600,0.3907,149.24,2017-10-01 04:00:00
374.03,382.8,374.02,382.8,1506859200,48.5,18202.62,2017-10-01 05:00:00
376.0,378.0,374.03,374.03,1506862800,0.3978,150.1,2017-10-01 06:00:00
381.5,381.94,375.91,376.0,1506866400,27.89,10575.77,2017-10-01 07:00:00
380.0,381.5,374.01,381.5,1506870000,110.71,41563.44,2017-10-01 08:00:00
377.0,380.0,374.03,380.0,1506873600,86.11,32412.29,2017-10-01 09:00:00
378.01,381.91,375.03,377.0,1506877200,91.75,34747.88,2017-10-01 10:00:00
380.0,382.88,378.01,378.01,1506880800,88.07,33445.09,2017-10-01 11:00:00
378.0,380.0,378.0,380.0,1506884400,25.18,9557.15,2017-10-01 12:00:00
380.0,380.0,377.01,378.0,1506888000,42.6,16154.23,2017-10-01 13:00:00
381.01,382.13,378.11,380.0,1506891600,96.99,37018.75,2017-10-01 14:00:00
382.83,382.84,380.0,381.01,1506895200,38.0,14531.92,2017-10-01 15:00:00
382.67,382.84,378.06,382.83,1506898800,63.96,24286.79,2017-10-01 16:00:00
382.66,382.67,376.05,382.67,1506902400,58.23,22100.59,2017-10-01 17:00:00
384.2,384.28,376.11,382.66,1506906000,47.46,18192.41,2017-10-01 18:00:00
387.0,388.5,381.0,384.2,1506909600,259.82,99876.84,2017-10-01 19:00:00
386.98,387.94,382.1,387.0,1506913200,183.73,70778.85,2017-10-01 20:00:00
385.0,387.57,381.0,386.98,1506916800,69.31,26661.59,2017-10-01 21:00:00
382.01,387.0,382.0,385.0,1506920400,14.44,5543.58,2017-10-01 22:00:00
381.08,387.0,381.05,382.01,1506924000,82.77,31592.74,2017-10-01 23:00:00
384.99,384.99,381.08,381.08,1506927600,9.2,3516.59,2017-10-02 00:00:00
386.99,386.99,384.99,384.99,1506931200,7.19,2781.18,2017-10-02 01:00:00
383.0,386.99,380.07,386.99,1506934800,4.88,1857.9,2017-10-02 02:00:00
384.0,384.0,380.0,383.0,1506938400,16.29,6209.2,2017-10-02 03:00:00
382.03,387.57,382.01,384.0,1506942000,79.2,30454.57,2017-10-02 04:00:00
382.04,382.04,376.6,382.03,1506945600,109.51,41538.32,2017-10-02 05:00:00
378.0,386.49,376.52,382.04,1506949200,39.14,14862.99,2017-10-02 06:00:00
376.0,384.31,375.58,378.0,1506952800,85.59,32522.85,2017-10-02 07:00:00
383.97,384.0,375.07,376.0,1506956400,65.92,24892.44,2017-10-02 08:00:00
382.8,383.97,375.0,383.97,1506960000,79.17,29886.72,2017-10-02 09:00:00
375.15,383.41,375.14,382.8,1506963600,45.79,17302.3,2017-10-02 10:00:00
373.26,380.47,373.22,375.15,1506967200,190.31,71468.68,2017-10-02 11:00:00
378.5,378.99,371.06,373.26,1506970800,187.35,69922.29,2017-10-02 12:00:00
378.55,378.68,373.11,378.5,1506974400,47.69,18034.06,2017-10-02 13:00:00
378.97,378.99,373.15,378.55,1506978000,25.01,9409.02,2017-10-02 14:00:00
378.4,378.97,373.96,378.97,1506981600,66.3,24826.2,2017-10-02 15:00:00
375.0,378.5,374.06,378.4,1506985200,30.26,11410.88,2017-10-02 16:00:00
378.99,379.39,375.0,375.0,1506988800,19.32,7311.97,2017-10-02 17:00:00
374.0,379.49,374.0,378.99,1506992400,75.38,28475.47,2017-10-02 18:00:00
378.75,379.0,374.0,374.0,1506996000,39.74,15037.15,2017-10-02 19:00:00
378.7,378.75,376.1,378.75,1506999600,7.52,2845.23,2017-10-02 20:00:00
382.98,382.98,378.55,378.7,1507003200,44.35,16874.78,2017-10-02 21:00:00
381.0,382.99,377.03,382.98,1507006800,18.69,7101.37,2017-10-02 22:00:00
376.03,381.0,376.01,381.0,1507010400,258.99,97505.18,2017-10-02 23:00:00
375.0,380.0,375.0,376.03,1507014000,45.28,17002.31,2017-10-03 00:00:00
376.01,376.01,373.13,375.0,1507017600,11.99,4482.29,2017-10-03 01:00:00
376.01,376.01,373.14,376.01,1507021200,8.99,3365.5,2017-10-03 02:00:00
376.0,376.01,370.0,376.01,1507024800,139.28,51663.72,2017-10-03 03:00:00
376.0,376.01,376.0,376.0,1507028400,3.17,1192.89,2017-10-03 04:00:00
371.0,379.0,371.0,376.0,1507032000,32.24,12118.04,2017-10-03 05:00:00
369.5,378.45,368.0,371.0,1507035600,170.31,63122.58,2017-10-03 06:00:00
370.05,370.05,366.5,369.5,1507039200,43.64,16089.14,2017-10-03 07:00:00
376.57,376.57,365.3,370.05,1507042800,35.07,13054.98,2017-10-03 08:00:00
374.49,376.57,370.0,376.57,1507046400,31.59,11832.02,2017-10-03 09:00:00
373.69,374.49,367.5,374.49,1507050000,33.14,12297.53,2017-10-03 10:00:00
373.92,374.49,368.01,373.69,1507053600,49.54,18436.57,2017-10-03 11:00:00
369.02,374.5,369.02,373.92,1507057200,41.59,15512.23,2017-10-03 12:00:00
365.9,374.5,365.9,369.02,1507060800,45.36,16722.79,2017-10-03 13:00:00
372.0,372.58,365.9,365.9,1507064400,22.59,8340.16,2017-10-03 14:00:00
368.01,374.99,365.1,372.0,1507068000,50.62,18585.22,2017-10-03 15:00:00
372.79,374.48,366.15,368.01,1507071600,32.13,11852.47,2017-10-03 16:00:00
373.94,374.92,366.21,372.79,1507075200,13.77,5111.92,2017-10-03 17:00:00
370.9,374.98,370.0,373.94,1507078800,45.18,16831.19,2017-10-03 18:00:00
367.12,374.96,367.1,370.9,1507082400,163.44,61223.43,2017-10-03 19:00:00
366.0,373.9,366.0,367.12,1507086000,32.49,12042.97,2017-10-03 20:00:00
373.91,373.98,366.0,366.0,1507089600,38.3,14313.29,2017-10-03 21:00:00
374.98,374.99,370.5,373.91,1507093200,171.34,64097.77,2017-10-03 22:00:00
371.0,374.98,371.0,374.98,1507096800,2.47,920.01,2017-10-03 23:00:00
