close,high,low,open,time,volumefrom,volumeto,timestamp
299.37,300.43,297.82,298.61,1506610800,325.74,97550.34,2017-09-28 08:00:00
300.26,302.74,299.37,299.37,1506614400,228.22,68584.7,2017-09-28 09:00:00
301.45,303.34,299.44,300.26,1506618000,262.47,79063.04,2017-09-28 10:00:00
299.66,303.59,299.65,301.45,1506621600,239.36,72204.79,2017-09-28 11:00:00
298.41,300.71,298.24,299.66,1506625200,192.38,57669.42,2017-09-28 12:00:00
300.02,300.55,297.33,298.41,1506628800,344.5,103198.17,2017-09-28 13:00:00
302.35,303.58,299.65,300.02,1506632400,164.58,49639.25,2017-09-28 14:00:00
300.63,303.82,300.62,302.35,1506636000,283.82,85824.86,2017-09-28 15:00:00
302.58,303.48,300.29,300.63,1506639600,138.99,41965.85,2017-09-28 16:00:00
302.09,303.08,301.77,302.58,1506643200,175.63,53104.1,2017-09-28 17:00:00
298.73,302.74,298.72,302.09,1506646800,323.98,97527.55,2017-09-28 18:00:00
285.01,299.01,283.45,298.73,1506650400,1824.57,524732.59,2017-09-28 19:00:00
279.86,288.09,274.05,285.01,1506654000,2067.44,584938.42,2017-09-28 20:00:00
285.63,286.78,278.86,279.86,1506657600,700.51,198097.98,2017-09-28 21:00:00
282.55,287.4,276.98,285.63,1506661200,833.96,235191.42,2017-09-28 22:00:00
283.71,285.22,280.27,282.55,1506664800,436.49,123437.4,2017-09-28 23:00:00
290.06,290.38,283.71,283.71,1506668400,514.67,147916.06,2017-09-29 00:00:00
290.66,294.2,287.49,290.06,1506672000,382.37,111169.6,2017-09-29 01:00:00
287.87,290.66,287.38,290.66,1506675600,438.2,126722.68,2017-09-29 02:00:00
289.61,290.3,285.76,287.87,1506679200,568.41,164234.34,2017-09-29 03:00:00
296.6,298.4,289.61,289.61,1506682800,523.83,153765.26,2017-09-29 04:00:00
300.72,302.56,295.15,296.6,1506686400,597.85,178706.28,2017-09-29 05:00:00
293.17,301.73,291.45,300.72,1506690000,632.32,187736.63,2017-09-29 06:00:00
294.17,296.33,291.74,293.17,1506693600,287.44,84481.12,2017-09-29 07:00:00
293.26,295.25,293.14,294.17,1506697200,212.89,62580.69,2017-09-29 08:00:00
294.88,298.39,293.09,293.26,1506700800,374.14,111148.92,2017-09-29 09:00:00
291.55,296.59,290.33,294.88,1506704400,169.59,49929.08,2017-09-29 10:00:00
292.2,295.84,290.67,291.55,1506708000,303.62,88945.53,2017-09-29 11:00:00
293.17,295.1,292.19,292.2,1506711600,142.52,41884.17,2017-09-29 12:00:00
293.87,295.43,292.95,293.17,1506715200,190.6,56087.48,2017-09-29 13:00:00
294.82,295.87,293.87,293.87,1506718800,125.42,37067.25,2017-09-29 14:00:00
293.39,296.97,291.09,294.82,1506722400,504.0,148223.72,2017-09-29 15:00:00
292.32,294.87,290.91,293.39,1506726000,450.36,131785.16,2017-09-29 16:00:00
294.68,294.76,292.31,292.32,1506729600,96.07,28199.73,2017-09-29 17:00:00
297.97,298.43,294.68,294.68,1506733200,232.45,68883.06,2017-09-29 18:00:00
298.98,300.55,297.52,297.97,1506736800,216.22,64588.39,2017-09-29 19:00:00
301.8,302.03,296.41,298.98,1506740400,322.12,96244.28,2017-09-29 20:00:00
302.6,305.89,297.74,301.8,1506744000,329.14,99535.74,2017-09-29 21:00:00
298.67,305.31,296.8,302.6,1506747600,284.83,85459.03,2017-09-29 22:00:00
301.65,303.13,298.32,298.67,1506751200,201.77,60727.61,2017-09-29 23:00:00
300.88,301.83,299.95,301.65,1506754800,185.4,55779.83,2017-09-30 00:00:00
301.93,302.48,300.11,300.88,1506758400,244.01,73571.73,2017-09-30 01:00:00
299.06,302.36,298.48,301.93,1506762000,230.56,69187.5,2017-09-30 02:00:00
305.71,307.03,298.47,299.06,1506765600,262.81,79629.06,2017-09-30 03:00:00
303.63,306.6,303.19,305.71,1506769200,229.0,69968.23,2017-09-30 04:00:00
302.8,304.09,301.49,303.63,1506772800,213.69,64718.56,2017-09-30 05:00:00
301.72,304.03,301.54,302.8,1506776400,211.13,63926.38,2017-09-30 06:00:00
302.79,303.52,301.31,301.72,1506780000,163.52,49416.27,2017-09-30 07:00:00
