close,high,low,open,time,volumefrom,volumeto,timestamp
70.22,70.23,68.39,69.99,1506610800,115.66,7943.91,2017-09-28 08:00:00
70.38,70.38,69.99,70.22,1506614400,25.6,1800.15,2017-09-28 09:00:00
66.0,70.38,65.8,70.38,1506618000,516.87,34836.99,2017-09-28 10:00:00
68.97,69.99,66.0,66.0,1506621600,655.02,43326.43,2017-09-28 11:00:00
67.47,68.97,67.0,68.97,1506625200,128.33,8629.02,2017-09-28 12:00:00
68.12,68.98,66.85,67.47,1506628800,57.89,3955.16,2017-09-28 13:00:00
67.05,68.97,66.9,68.12,1506632400,33.4,2289.12,2017-09-28 14:00:00
68.86,68.86,67.05,67.05,1506636000,15.89,1084.94,2017-09-28 15:00:00
68.86,68.86,67.08,68.86,1506639600,13.05,886.95,2017-09-28 16:00:00
67.5,68.87,67.5,68.86,1506643200,33.28,2253.79,2017-09-28 17:00:00
67.13,68.86,67.13,67.5,1506646800,38.78,2613.52,2017-09-28 18:00:00
65.0,67.85,65.0,67.13,1506650400,1337.83,87700.48,2017-09-28 19:00:00
65.01,67.73,64.5,65.0,1506654000,792.72,51322.37,2017-09-28 20:00:00
66.49,66.49,65.0,65.01,1506657600,110.0,7230.25,2017-09-28 21:00:00
64.5,66.49,64.22,66.49,1506661200,120.92,7816.41,2017-09-28 22:00:00
64.54,66.48,64.5,64.5,1506664800,40.86,2712.1,2017-09-28 23:00:00
66.0,66.0,64.54,64.54,1506668400,10.26,671.02,2017-09-29 00:00:00
66.0,66.0,66.0,66.0,1506672000,2.09,137.96,2017-09-29 01:00:00
66.0,66.0,64.8,66.0,1506675600,3.73,244.21,2017-09-29 02:00:00
66.0,66.0,66.0,66.0,1506679200,5.97,394.0,2017-09-29 03:00:00
65.0,66.25,65.0,66.0,1506682800,216.86,14315.04,2017-09-29 04:00:00
66.99,66.99,65.0,65.0,1506686400,896.0,58312.22,2017-09-29 05:00:00
67.0,67.0,66.5,66.99,1506690000,22.26,1485.39,2017-09-29 06:00:00
65.76,67.74,65.76,67.0,1506693600,12.68,854.92,2017-09-29 07:00:00
65.8,67.55,65.76,65.76,1506697200,79.82,5266.07,2017-09-29 08:00:00
68.35,68.35,65.8,65.8,1506700800,83.67,5661.74,2017-09-29 09:00:00
67.5,68.35,66.98,68.35,1506704400,43.49,2927.49,2017-09-29 10:00:00
65.0,67.5,65.0,67.5,1506708000,133.18,8782.56,2017-09-29 11:00:00
67.01,68.37,65.0,65.0,1506711600,87.49,5899.25,2017-09-29 12:00:00
68.34,68.39,67.01,67.01,1506715200,107.81,7321.62,2017-09-29 13:00:00
