close,high,low,open,time,volumefrom,volumeto,timestamp
54.58,54.74,54.41,54.58,1506610800,60.37,3294.74,2017-09-28 08:00:00
54.61,54.87,54.58,54.58,1506614400,50.1,2736.21,2017-09-28 09:00:00
54.67,55.12,54.41,54.61,1506618000,63.18,3463.54,2017-09-28 10:00:00
54.18,54.88,54.18,54.67,1506621600,57.98,3155.24,2017-09-28 11:00:00
54.14,54.36,54.04,54.18,1506625200,53.91,2921.85,2017-09-28 12:00:00
54.14,54.14,54.04,54.14,1506628800,32.78,1774.66,2017-09-28 13:00:00
54.35,54.55,54.14,54.14,1506632400,57.32,3110.88,2017-09-28 14:00:00
54.47,54.74,54.35,54.35,1506636000,39.35,2140.81,2017-09-28 15:00:00
54.5,54.74,54.47,54.47,1506639600,59.46,3240.95,2017-09-28 16:00:00
54.81,55.05,54.5,54.5,1506643200,63.15,3463.99,2017-09-28 17:00:00
54.5,54.81,54.34,54.81,1506646800,66.83,3651.82,2017-09-28 18:00:00
51.46,54.5,51.46,54.5,1506650400,106.91,5649.01,2017-09-28 19:00:00
50.7,51.77,50.41,51.46,1506654000,88.32,4522.02,2017-09-28 20:00:00
50.75,50.98,50.49,50.7,1506657600,55.39,2806.65,2017-09-28 21:00:00
50.9,51.06,50.55,50.75,1506661200,74.85,3801.47,2017-09-28 22:00:00
50.92,51.09,50.73,50.9,1506664800,47.07,2392.11,2017-09-28 23:00:00
52.02,52.13,50.92,50.92,1506668400,63.71,3288.49,2017-09-29 00:00:00
52.27,52.51,52.02,52.02,1506672000,51.88,2710.08,2017-09-29 01:00:00
52.27,52.49,52.04,52.27,1506675600,55.58,2904.8,2017-09-29 02:00:00
52.2,52.38,51.82,52.27,1506679200,85.65,4468.95,2017-09-29 03:00:00
53.19,53.42,52.2,52.2,1506682800,72.98,3853.09,2017-09-29 04:00:00
53.83,53.98,52.95,53.19,1506686400,37.89,2023.45,2017-09-29 05:00:00
53.53,53.83,53.28,53.83,1506690000,53.42,2868.88,2017-09-29 06:00:00
53.58,53.6,53.04,53.53,1506693600,76.25,4071.37,2017-09-29 07:00:00
53.47,53.77,53.27,53.58,1506697200,59.99,3209.35,2017-09-29 08:00:00
54.03,54.17,53.47,53.47,1506700800,48.56,2620.93,2017-09-29 09:00:00
53.68,54.03,53.1,54.03,1506704400,89.99,4847.43,2017-09-29 10:00:00
53.63,53.8,53.28,53.68,1506708000,58.7,3147.11,2017-09-29 11:00:00
53.41,53.79,53.28,53.63,1506711600,69.33,3715.56,2017-09-29 12:00:00
52.91,53.6,52.85,53.41,1506715200,33.78,1800.01,2017-09-29 13:00:00
53.18,53.42,52.91,52.91,1506718800,74.08,3932.47,2017-09-29 14:00:00
53.03,53.23,52.55,53.18,1506722400,57.23,3036.04,2017-09-29 15:00:00
52.94,53.16,52.73,53.03,1506726000,71.09,3767.37,2017-09-29 16:00:00
52.94,53.16,52.94,52.94,1506729600,75.17,3992.33,2017-09-29 17:00:00
53.8,53.98,52.94,52.94,1506733200,61.31,3268.59,2017-09-29 18:00:00
54.34,54.55,53.8,53.8,1506736800,41.35,2230.46,2017-09-29 19:00:00
54.38,54.74,54.22,54.34,1506740400,59.66,3247.09,2017-09-29 20:00:00
54.32,54.38,54.09,54.38,1506744000,46.47,2524.39,2017-09-29 21:00:00
54.36,54.36,54.04,54.32,1506747600,51.44,2786.38,2017-09-29 22:00:00
54.86,55.12,54.18,54.36,1506751200,72.4,3959.2,2017-09-29 23:00:00
54.89,55.2,54.6,54.86,1506754800,56.82,3120.72,2017-09-30 00:00:00
54.94,55.12,54.76,54.89,1506758400,53.24,2923.9,2017-09-30 01:00:00
54.87,55.12,54.65,54.94,1506762000,47.16,2589.3,2017-09-30 02:00:00
55.0,55.12,54.87,54.87,1506765600,51.9,2848.57,2017-09-30 03:00:00
55.24,55.51,55.0,55.0,1506769200,107.22,5934.74,2017-09-30 04:00:00
54.9,55.24,54.86,55.24,1506772800,61.28,3374.64,2017-09-30 05:00:00
54.64,54.9,54.52,54.9,1506776400,47.23,2581.38,2017-09-30 06:00:00
54.63,54.64,54.61,54.64,1506780000,67.3,3676.97,2017-09-30 07:00:00
55.18,55.32,54.63,54.63,1506783600,77.98,4284.24,2017-09-30 08:00:00
55.25,55.37,55.18,55.18,1506787200,64.42,3556.12,2017-09-30 09:00:00
55.27,55.47,55.14,55.25,1506790800,34.59,1912.94,2017-09-30 10:00:00
55.5,55.7,55.27,55.27,1506794400,28.83,1598.97,2017-09-30 11:00:00
55.76,55.76,55.29,55.5,1506798000,25.09,1393.91,2017-09-30 12:00:00
56.09,56.1,55.56,55.76,1506801600,11.7,652.53,2017-09-30 13:00:00
55.83,56.09,55.57,56.09,1506805200,28.01,1563.61,2017-09-30 14:00:00
55.7,55.83,55.57,55.83,1506808800,50.75,2826.4,2017-09-30 15:00:00
55.58,55.8,55.37,55.7,1506812400,15.83,880.45,2017-09-30 16:00:00
55.58,55.8,55.37,55.58,1506816000,9.8,544.54,2017-09-30 17:00:00
55.37,55.58,55.37,55.58,1506819600,12.05,669.86,2017-09-30 18:00:00
54.79,55.67,54.79,55.37,1506823200,24.99,1377.51,2017-09-30 19:00:00
54.86,55.08,54.74,54.79,1506826800,42.43,2327.44,2017-09-30 20:00:00
55.12,55.12,54.64,54.86,1506830400,28.97,1587.1,2017-09-30 21:00:00
54.8,55.13,54.76,55.12,1506834000,67.9,3724.19,2017-09-30 22:00:00
55.51,55.51,54.8,54.8,1506837600,34.64,1903.81,2017-09-30 23:00:00
55.36,55.51,55.08,55.51,1506841200,24.65,1361.7,2017-10-01 00:00:00
54.95,55.51,54.6,55.36,1506844800,38.44,2112.01,2017-10-01 01:00:00
55.24,55.32,54.6,54.95,1506848400,62.24,3424.11,2017-10-01 02:00:00
54.6,55.32,54.55,55.24,1506852000,92.06,5058.16,2017-10-01 03:00:00
54.61,55.12,54.41,54.6,1506855600,84.01,4605.34,2017-10-01 04:00:00
54.03,54.61,54.03,54.61,1506859200,96.62,5247.7,2017-10-01 05:00:00
53.92,54.43,53.79,54.03,1506862800,88.56,4797.34,2017-10-01 06:00:00
53.69,53.92,53.47,53.92,1506866400,95.26,5118.47,2017-10-01 07:00:00
53.82,54.17,53.69,53.69,1506870000,117.8,6333.54,2017-10-01 08:00:00
53.81,54.17,53.68,53.82,1506873600,79.96,4310.93,2017-10-01 09:00:00
53.99,54.17,53.81,53.81,1506877200,153.1,8257.54,2017-10-01 10:00:00
53.67,53.99,53.47,53.99,1506880800,67.5,3622.45,2017-10-01 11:00:00
53.75,53.87,53.47,53.67,1506884400,34.33,1844.73,2017-10-01 12:00:00
